IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
123848.0;Mûrier;Morus;alba;SQUARE DE LA TOUR SAINT JACQUES / 1 BIS RUE SAINT MARTIN;Arbre;Jardin;PARIS 4E ARRDT;;;000103001;105.0;7.0;Adulte;Inconnue;;2009-01-01T02:00:00+01:00;OUI;48.85786707219378,2.34811930339295
2002348.0;Cèdre;Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-09;;000301002;468.0;25.0;Mature;Inconnue;;1862-01-01T01:02:49+00:53;OUI;48.8633907267388,2.240481126956207
317250.0;Platane;Platanus;x hispanica;SQUARE MONTHOLON / 79 BIS RUE LA FAYETTE;Arbre;Jardin;PARIS 9E ARRDT;;;000108001;465.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87692125066785,2.3467187902283446
102141.0;Platane;Platanus;x hispanica;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;19-08;;H0690012;725.0;30.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.880335483410086,2.381305309812792
230281.0;Saule;Salix;babylonica;QUAI DE L HORLOGE;Arbre;Alignement;PARIS 1ER ARRDT;;;000402002;140.0;14.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85774901103886,2.3394039402915254
102028.0;Marronnier;Aesculus;hippocastanum;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;G0380002;330.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88011574548705,2.3856668241505523
313940.0;Platane;Platanus;orientalis;PARC MONCEAU;Arbre;Jardin;PARIS 8E ARRDT;08-02;;00SO0222;645.0;31.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87858281562189,2.3075597941702957
138935.0;Cèdre;Cedrus;libani;SQUARE CLAUDE DEBUSSY / 51 AVENUE DU MARECHAL FAYOLLE;Arbre;Jardin;PARIS 16E ARRDT;16-24;;000101001;225.0;5.0;Mature;Inconnue;''Glauca Pendula'';1700-01-01T01:02:49+00:53;OUI;48.867228044629144,2.270268755606125
135397.0;Platane;Platanus;x hispanica;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-10;;00000206;597.0;34.0;Mature;Inconnue;;1850-01-01T01:02:49+00:53;OUI;48.887688246600334,2.3164592123762056
223748.0;Platane;Platanus;x hispanica;BOULEVARD DE CHARONNE;Arbre;Alignement;PARIS 20E ARRDT;148;;001802036;407.0;23.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85647419983055,2.394618479035004
2002394.0;Sequoia;Sequoiadendron;giganteum;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-14;;000501003;634.0;32.0;Adulte;Inconnue;;1872-01-01T01:02:49+00:53;OUI;48.86481794495802,2.2526762439998316
2002359.0;Cryptomeria;Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-13;;12-13;130.0;13.0;Mature;Inconnue;;1893-01-01T01:02:49+00:53;OUI;48.83121657299061,2.4116773969314496
134203.0;Marronnier;Aesculus;pavia;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-04;;00000125;310.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.89409265680786,2.326331916221363
108095.0;Platane;Platanus;x hispanica;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / SETE;Arbre;Jardin;PARIS 7E ARRDT;Canton 01 / SETE;;P00108001;695.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85783876010566,2.2933187395699957
2002355.0;Arbre aux mouchoirs;Davidia;involucrata;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-20;;000701006;120.0;15.0;Adulte;Inconnue;;1906-01-01T01:09:21+01:00;OUI;48.87324846283381,2.2488787457229065
323350.0;Pterocarya;Pterocarya;fraxinifolia;SQUARE D ESTIENNE D ORVES / 1 PLACE D ESTIENNE D ORVES;Arbre;Jardin;PARIS 9E ARRDT;Entrée;;000202001;340.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.876686851977674,2.331908896799583
111640.0;Aulne;Alnus;n. sp.;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;Arbre;Jardin;PARIS 15E ARRDT;15-02;;000102018;225.0;18.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84282073993694,2.2972872774952617
125236.0;Libocèdre;Calocedrus;decurrens;JARDIN DE LA GARE DE REUILLY - JULIEN LAUPRETRE / 6 RUE PAUL DUKAS;Arbre;Jardin;PARIS 12E ARRDT;12-33;;000101001;205.0;20.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8408776987372,2.392112852731359
114140.0;Orme de Sibérie;Zelkova;carpinifolia;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;000404063;426.0;26.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87264176216772,2.2813640558525785
2002392.0;Pterocarya;Pterocarya;fraxinifolia;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-02;;000101004;407.0;27.0;Mature;Inconnue;;1882-01-01T01:02:49+00:53;OUI;48.863173061317106,2.2617385639414525
116216.0;Cèdre;Cedrus;libani;SQUARE DE L ASPIRANT DUNAND / 20 RUE SAILLARD;Arbre;Jardin;PARIS 14E ARRDT;;;000209001;155.0;20.0;Adulte;Inconnue;;1996-01-01T02:00:00+01:00;OUI;48.83196735549029,2.3258168124220626
2002350.0;Sequoia;Sequoiadendron;giganteum;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-22;;000701002;511.0;28.0;Adulte;Inconnue;;1850-01-01T01:02:49+00:53;OUI;48.8694582820089,2.2477134379245176
106181.0;Cèdre;Cedrus;libani;PARC DE CHOISY / 1 RUE GEORGE EASTMAN;Arbre;Jardin;PARIS 13E ARRDT;Massif 01;;000201026;351.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82776601728856,2.3592631864012117
112503.0;Marronnier;Aesculus;hippocastanum;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Place Saint-Pierre;;000105002;366.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88447160294701,2.343107759067421
113597.0;Chêne;Quercus;frainetto;SQUARE DE LA PLACE ADOLPHE CHERIOUX / 260 RUE DE VAUGIRARD;Arbre;Jardin;PARIS 15E ARRDT;;;000106001;180.0;15.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.83964416716213,2.300975584984933
136448.0;Catalpa;Catalpa;speciosa;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00030003;200.0;3.0;Mature;Inconnue;''Pulverulenta'';1700-01-01T01:02:49+00:53;OUI;48.84758185002834,2.2532779035516604
136338.0;Chêne;Quercus;suber subsp. Occidentalis;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040054;232.0;11.0;Mature;Inconnue;;1895-01-01T01:09:21+01:00;OUI;48.84717334032457,2.252866144075643
2002362.0;If;Taxus;baccata;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-08;;12-08;105.0;5.0;Adulte;Inconnue;;1870-01-01T01:02:49+00:53;OUI;48.83207758478565,2.4118171356640263
106714.0;Plaqueminier;Diospyros;lotus;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;P00905009;163.0;13.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.855793015910024,2.3002643183580016
120530.0;Oranger des Osages;Maclura;pomifera;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus Ronsard;;000601010;212.0;16.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.88566918282631,2.344714069403676
136323.0;Chêne;Quercus;ilex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040039;237.0;13.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84656523306659,2.2524200120166262
125046.0;Noisetier de Byzance;Corylus;colurna;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;04-04;;000104001;210.0;19.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8527826173674,2.351016048141519
108256.0;Noisetier de Byzance;Corylus;colurna;JARDINS DU TROCADERO / 3 PLACE DE VARSOVIE;Arbre;Jardin;PARIS 16E ARRDT;Canton 09;;000906007;261.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86159461628186,2.2910362693943402
2002380.0;Pin;Pinus;bungeana;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-19;;12-19;85.0;16.0;Adulte;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.821320628340644,2.455366695890119
152606.0;Cèdre;Cedrus;libani;CIMETIERE DU PERE LACHAISE / DIV 4;Arbre;CIMETIERE;PARIS 20E ARRDT;20-16;;D00000004036;390.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86080962786654,2.3918437755894497
2002351.0;Platane;Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-18;;000701007;221.0;24.0;Mature;Inconnue;;1843-01-01T01:02:49+00:53;OUI;48.870405525070645,2.2485211916156063
2002363.0;Cyprès Chauve;Taxodium;distichum;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-10;;12-10;300.0;18.0;Adulte;Inconnue;;1930-01-01T01:00:00+01:00;OUI;48.832610572841126,2.411452728985844
2002367.0;Noyer;Juglans;nigra;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;Arbre;Jardin;BOIS DE VINCENNES;12-04;;12-04;595.0;26.0;Adulte;Inconnue;;1845-01-01T01:02:49+00:53;OUI;48.83343581354384,2.4127979366912062
123156.0;Chêne;Quercus;frainetto;SQUARE CHARLES PEGUY / 21 RUE ROTTEMBOURG;Arbre;Jardin;PARIS 12E ARRDT;;;000202001;169.0;14.0;Adulte;Inconnue;;1990-01-01T02:00:00+01:00;OUI;48.83881631940496,2.40656685551818
2002379.0;Pin;Pinus;coulteri;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-20;;12-20;234.0;17.0;Adulte;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.821009518768086,2.4555149835972707
2002353.0;Araucaria;Araucaria;araucana;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-23;;000701003;182.0;11.0;Adulte;Inconnue;;1907-01-01T01:09:21+01:00;OUI;48.871681148770165,2.2492326527514583
158457.0;Arbre aux quarante écus;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 84;Arbre;CIMETIERE;PARIS 20E ARRDT;20-12;;D00000084016;165.0;20.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86339280302588,2.3968465381830266
132542.0;Platane;Platanus;orientalis;SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;;000101001;395.0;24.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84935115947165,2.345032927765741
2002388.0;Plaqueminier;Diospyros;kaki;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-13;;000501002;146.0;15.0;Adulte;Inconnue;;1897-01-01T01:09:21+01:00;OUI;48.86483262774767,2.2521746079193368
123805.0;Cèdre;Cedrus;libani;SQUARE BARYE / 2 BOULEVARD HENRI IV;Arbre;Jardin;PARIS 4E ARRDT;;;00000010;133.0;12.0;Adulte;Inconnue;;1993-01-01T02:00:00+01:00;OUI;48.849745937314125,2.3600393733260105
2002384.0;Cèdre;Cedrus;libani;LAC DE GRAVELLE - ROUTE DU PESAGE / ROUTE DE LA TOURELLE;Arbre;Jardin;BOIS DE VINCENNES;12-16;;12-16;425.0;22.0;Mature;Inconnue;;1829-01-01T01:02:49+00:53;OUI;48.82012550552622,2.445117753503764
167762.0;If;Taxus;baccata;CIMETIERE DE MONTMARTRE / DIV 14;Arbre;CIMETIERE;PARIS 18E ARRDT;;;D00000014007;299.0;13.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8858144156089,2.3301156142031503
158456.0;Arbre aux quarante écus;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;;D00000078003;180.0;16.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86385698595501,2.3966371602084227
155788.0;Plaqueminier;Diospyros;lotus;CIMETIERE DU PERE LACHAISE / DIV 77;Arbre;CIMETIERE;PARIS 20E ARRDT;20-01;;D00000077016;115.0;10.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86208456875805,2.3985769149034124
2002354.0;Hêtre;Fagus;sylvatica;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-17;;000701004;231.0;16.0;Mature;Inconnue;''Pendula'';1868-01-01T01:02:49+00:53;OUI;48.87311108976254,2.2488647888597715
106981.0;Arbre aux quarante écus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Flatters;;031401018;340.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82295102039206,2.337472249291674
104841.0;Marronnier;Aesculus;hippocastanum;SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES;Arbre;Jardin;PARIS 13E ARRDT;Roseraie;;000301003;360.0;15.0;Mature;Inconnue;;1894-01-01T01:09:21+01:00;OUI;48.833030121720526,2.350696508611614
109021.0;Platane;Platanus;x hispanica;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;07-13;;000201005;480.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85777577334163,2.314530473104143
113571.0;Pistachier;Pistacia;terebinthus;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00060050;172.0;10.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84590426297836,2.2530267640826533
302598.0;Platane;Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;;000109003;583.0;29.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86524780196837,2.3133517523924843
2002391.0;Arbre aux quarante écus;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-01;;000101002;210.0;17.0;Mature;Inconnue;;1893-01-01T01:02:49+00:53;OUI;48.862908287642384,2.261570346106018
138456.0;Figuier;Ficus;carica;JARDIN BRASSAI / 2 RUE EUGENE ATGET;Arbre;Jardin;PARIS 13E ARRDT;;;00000028;120.0;4.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.82884091038866,2.3497646273459796
2002378.0;Erable;Acer;cappadocicum;PELOUSE DE FONTENAY - AVENUE DE LA BELLE GABRIELLE;Arbre;Jardin;BOIS DE VINCENNES;12-23;;12-23;320.0;18.0;Mature;Inconnue;;1900-01-01T01:09:21+01:00;OUI;48.840942068885,2.464132113898919
103916.0;If;Taxus;baccata;PARC DES BUTTES CHAUMONT;Arbre;Jardin;PARIS 19E ARRDT;;;O1020001;140.0;13.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.87704272833932,2.3805001285112204
2002372.0;Hêtre;Fagus;sylvatica;SQUARE CARNOT - AVENUE DAUMESNIL / ESPLANADE DU CHATEAU DE VINCENNES;Arbre;Jardin;BOIS DE VINCENNES;12-22;;12-22;420.0;16.0;Mature;Inconnue;''Pendula'';1864-01-01T01:02:49+00:53;OUI;48.83988623398372,2.4338831267868555
116020.0;Figuier;Ficus;carica;SQUARE GEORGES CAIN / 8 RUE PAYENNE;Arbre;Jardin;PARIS 3E ARRDT;03-01;;000101002;145.0;10.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.858282014124114,2.362652663900867
136310.0;Pterocarya;Pterocarya;stenoptera;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;;00040026;562.0;30.0;Mature;Inconnue;;1905-01-01T01:09:21+01:00;OUI;48.84714674403444,2.251983537170895
2002395.0;Pin;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-16;;000501001;330.0;27.0;Adulte;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.863965186773484,2.251349683552544
125087.0;Grenadier;Punica;granatum;SQUARE LOUISE MICHEL / 6 PLACE SAINT PIERRE;Arbre;Jardin;PARIS 18E ARRDT;Talus Aux Amoureux;;000404003;30.0;3.0;Adulte;Inconnue;;1952-01-01T02:00:00+01:00;OUI;48.885641535741605,2.3438204487276235
125051.0;Tamaris;Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;Arbre;Jardin;PARIS 4E ARRDT;;;000102002;230.0;3.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.85235484373537,2.3518099173605203
134212.0;Tulipier;Liriodendron;tulipifera;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-03;;00000134;253.0;18.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.89462285651077,2.3268523785013038
114869.0;Savonnier;Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 10 - 20 à 26;;000206001;164.0;8.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8735408017879,2.2904501836127147
2002347.0;Cyprès Chauve;Taxodium;distichum;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;Arbre;Jardin;BOIS DE BOULOGNE;16-07;;000301001;311.0;28.0;Mature;Inconnue;;1859-01-01T01:02:49+00:53;OUI;48.86326316101311,2.240724763839415
2002357.0;Platane;Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-30;;12-30;510.0;27.0;Mature;Inconnue;;1871-01-01T01:02:49+00:53;OUI;48.82925320910063,2.4131820586516577
110444.0;Hêtre;Fagus;sylvatica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Lac et Berges;;041501007;150.0;5.0;Adulte;Inconnue;''Tortuosa'';1700-01-01T01:02:49+00:53;OUI;48.82334523515636,2.3396834268468463
132543.0;Platane;Platanus;orientalis;SQUARE MICHEL FOUCAULT / 43 Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;;000101002;450.0;24.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.84931650164747,2.3451863583850474
128372.0;Hêtre;Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;Arbre;Jardin;PARIS 15E ARRDT;;;00000001;140.0;4.0;Adulte;Inconnue;''Pendula'';1973-01-01T02:00:00+01:00;OUI;48.83642502700968,2.2901856317577085
302514.0;Sequoia;Sequoiadendron;giganteum;JARDINS DES CHAMPS ELYSEES - JARDIN DES AMBASSADEURS / 10 AVENUE DES CHAMPS ELYSEES;Arbre;Jardin;PARIS 8E ARRDT;Secteur Ambassadeurs;;000103001;360.0;19.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.86697545795968,2.3195152169860993
135378.0;Platane;Platanus;orientalis;SQUARE DES BATIGNOLLES;Arbre;Jardin;PARIS 17E ARRDT;17-08;;00000187;468.0;30.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.887526474653484,2.3161787541851964
139108.0;Chicot du Canada;Gymnocladus;dioica;SQUARE ROBERT SCHUMAN;Arbre;Jardin;PARIS 16E ARRDT;16-42;;00000007;175.0;13.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.869133165707375,2.2722482976861
2002381.0;Orme de Sibérie;Zelkova;carpinifolia;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-21;;12-21;315.0;18.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.82157930701943,2.4549466354672456
121945.0;Platane;Platanus;x hispanica;SQUARE EDOUARD VAILLANT / 50 AVENUE GAMBETTA;Arbre;Jardin;PARIS 20E ARRDT;20-05;;000202004;520.0;28.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.865621761898815,2.3999411427386783
127516.0;Hêtre;Fagus;sylvatica;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;Arbre;Jardin;PARIS 19E ARRDT;;;00000004;286.0;19.0;Mature;Inconnue;''Atropunicea'';1700-01-01T01:02:49+00:53;OUI;48.881021094447576,2.3992443130665295
106715.0;Plaqueminier;Diospyros;kaki;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;P00905010;118.0;14.0;Adulte;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8558049513385,2.3003029330896148
132669.0;Hêtre;Fagus;sylvatica;SQUARE DES ARENES DE LUTECE / 2 PLACE EMILE MALE;Arbre;Jardin;PARIS 5E ARRDT;;;000301002;90.0;3.0;Mature;Inconnue;''Tortuosa'';1905-01-01T01:09:21+01:00;OUI;48.844887526406524,2.3536691631893945
121632.0;Hêtre;Fagus;sylvatica;SQUARE DU SERMENT DE KOUFRA;Arbre;Jardin;PARIS 14E ARRDT;14-09;;00000174;315.0;15.0;Mature;Inconnue;''Atropunicea'';1700-01-01T01:02:49+00:53;OUI;48.821788234569055,2.3228497156973735
